Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
672,Text,1996-09-01,The Secret Guide to Computers,en,"Walter, Russ, 1947-",Microcomputers,QA,Category: Engineering & Technology; Category: How To ...
673,Text,1996-10-01,The Gutenberg Webster's Unabridged Dictionary,en,Project Gutenberg,English language -- Dictionaries,AG; PE,Category: Encyclopedias/Dictionaries/Reference
674,Text,1996-10-01,Plutarch: Lives of the noble Grecians and Romans,en,"Plutarch, 46-120?; Clough, Arthur Hugh, 1819-1861 [Editor]",Greece -- Biography -- Early works to 1800; Rome -- Biography -- Early works to 1800,DE,"Harvard Classics; Category: Biographies; Category: Mythology, Legends & Folklore; Category: History - Ancient"
675,Text,1996-10-01,American Notes,en,"Dickens, Charles, 1812-1870; Stone, Marcus, 1840-1921 [Illustrator]","United States -- Description and travel; United States -- Social life and customs -- 1783-1865; Dickens, Charles, 1812-1870 -- Travel -- United States",E151,Category: Travel Writing; Category: British Literature
676,Text,1996-10-01,The Battle of Life,en,"Dickens, Charles, 1812-1870","England -- Social life and customs -- 19th century -- Fiction; Christmas stories, English",PR,Christmas; Category: Novels; Category: British Literature
677,Text,1996-10-01,"The Heroes; Or, Greek Fairy Tales for My Children",en,"Kingsley, Charles, 1819-1875","Mythology, Greek -- Juvenile literature",PZ,"Children's Myths, Fairy Tales, etc.; Category: Children & Young Adult Reading; Category: Mythology, Legends & Folklore"
678,Text,1996-10-01,The Cricket on the Hearth: A Fairy Tale of Home,en,"Dickens, Charles, 1812-1870","England -- Social life and customs -- 19th century -- Fiction; Christmas stories, English; Holidays -- Fiction",PR,Children's Literature; Category: Novels; Category: British Literature
679,Text,1996-10-01,Poems,en,"Harper, Frances Ellen Watkins, 1825-1911",Poetry,PS,Category: Poetry; Category: American Literature
680,Text,1996-10-01,The Golden Threshold,en,"Naidu, Sarojini, 1879-1949; Symons, Arthur, 1865-1945 [Contributor]",Indic poetry (English),PK,India; Category: Poetry
681,Text,1996-10-01,Creatures That Once Were Men,en,"Gorky, Maksim, 1868-1936; Chesterton, G. K. (Gilbert Keith), 1874-1936 [Commentator]",Fiction,PG,Category: Novels; Category: Russian Literature
682,Text,1996-10-01,Catalan's Constant [Ramanujan's Formula],en,"Fee, Greg",Mathematical constants,QA,Mathematics; Category: Mathematics
683,Text,1996-10-01,The Compleat Angler,en,"Walton, Izaak, 1593-1683",Fishing -- Early works to 1800,SH,"Category: Essays, Letters & Speeches; Category: Classics of Literature; Category: British Literature; Category: Sports/Hobbies; Category: Philosophy & Ethics"
684,Text,1996-10-01,Worldwide Effects of Nuclear War: Some Perspectives,en,United States. Arms Control and Disarmament Agency,Radioactive fallout; Nuclear warfare -- Environmental aspects,UF,Category: History - Modern (1750+); Category: Health & Medicine; Category: Environmental Issues
685,Text,1996-10-01,The Atomic Bombings of Hiroshima and Nagasaki,en,United States. Army. Corps of Engineers. Manhattan District,"Atomic bomb -- Blast effect; Atomic bomb -- Physiological effect; Hiroshima-shi (Japan) -- History -- Bombardment, 1945; Nagasaki-shi (Japan) -- History -- Bombardment, 1945",D731,Category: History - Modern (1750+); Category: History - Warfare; Category: Health & Medicine
686,Text,1996-10-01,"The Treaty of the European Union, Maastricht Treaty, 7th February, 1992",en,European Union,European federation; Europe -- Economic integration; European Union,KJ,Category: History - European; Category: Law & Criminology; Category: Politics
687,Text,2006-01-09,A Personal Record,en,"Conrad, Joseph, 1857-1924","Novelists, English -- 20th century -- Biography; Conrad, Joseph, 1857-1924",PR,Category: Biographies; Category: British Literature
688,Text,1996-10-01,"The Goodness of St. Rocque, and Other Stories",en,"Dunbar-Nelson, Alice Moore, 1875-1935",Short stories; New Orleans (La.) -- Fiction; City and town life -- Fiction; African Americans -- Fiction; United States -- Social life and customs -- 19th century -- Fiction,PS,Category: Short Stories; Category: American Literature
689,Text,2006-03-18,The Kreutzer Sonata and Other Stories,en,"Tolstoy, Leo, graf, 1828-1910; Tucker, Benjamin Ricketson, 1854-1939 [Translator]","Short stories; Russia -- Social life and customs -- Fiction; Murder -- Fiction; Jealousy -- Fiction; Tolstoy, Leo, graf, 1828-1910 -- Translations into English",PG,Anarchism; Harvard Classics; Banned Books from Anne Haight's list; Category: Short Stories; Category: Russian Literature
690,Text,1996-10-01,Proposed Roads to Freedom,en,"Russell, Bertrand, 1872-1970",Socialism; Anarchism; Syndicalism; Guild socialism,HN,Philosophy; Category: History - Modern (1750+); Category: Philosophy & Ethics; Category: Sociology; Category: Politics; Nobel Prizes in Literature
691,Text,1996-10-01,The Complete Works of James Whitcomb Riley — Volume 1,en,"Riley, James Whitcomb, 1849-1916",American poetry,PS,Category: Poetry; Category: American Literature
